	발행연월	록키 워드 
1	2006	
2	2006	역사 성곽 건축 체험 
3	2006	
4	2006	버 슐츠 세계 내 존재 
5	2006	안도 다다오 전 체험 
6	2006	논문 필자 문화 욕망 사이에서 부재 대화 상대자 문화 정신 분석 상호 포함 관계 문화 정신 분석 정신 분석 문화 토대 기능 일종 수렴 점 생각 양자 관계 존재론 속성 선험 판단 문화 정신 분석 배척 연계 이론 실천 문제 성찰 도움 기여 점 부각 문화 정신 분석 배척 이유 무의식 지위 장 소성 경험주의 곡해 역설 정신 분석 심리 세계 구조 결정 인 사회 행위 동기화 문화 형태 재생산 차원 문화 방법 기여 논증 문화 개인사 문화 지평 확대 정신 분석 치료 도움 기술 프로그램 개발 필자 임상 경험 확인 정신 분석 문화 뿌리 기억 망각 교차 물림 형상 연계 정신 분석 주체 심 외상 망각 유년기 기억 이용 임상 실천 반면 문화 주체 일종 기억 타자 관계 기록 체계화 현재 망각 현장 조사 문화 정신 분석 무의식 전 외상 임상 실천 민족 지 현 장 조사 사례 기술 담화 분석 
7	2006	
8	2006	축제 개최 관광지 대상 축제 관광지 매력 영향 관계 상관관계 비교 축제 아이템 관광지 연관 파악 실시 가지 결론 도출 활동 관련 항목 야간 활동 휴식 프로그램 다양성 축제 안내 정보 환경 여건 청결 명성 이미지 축제 목표 경험 자원 인적 서비스 지역 주민 태도 종사 원 서비스 축제 매력 요인 관광지 매력 요인 상호 영향 관계 축제 매력 관광지 매력 상관관계 존재 중 축제 매력 축제 목표 인적 자원 요인 관광지 매력 경험 인적 자원 요인 상관관계 축제 관광지 매력 
9	2006	
10	2006	축제 체험 체험 속성 일탈 놀이 대동 신성 
11	2006	
12	2006	휴대 전화 확산 이동 중 연결 상호작용 성 증대 구성 활성 주장 공적 사시 규범 파괴 이야기 휴대 전화 이용 인식 형태 공적 역할 변화 이론 검토 실증 조사 분석 결과 시공간 미시 적조 정과 다 의적 휴대 전화 이용 고정 논리 조정 활용 인식 변화 모바일 친구 항시 연결 휴대 전화 이용 공존 분 위상 공유 사회 행태 변화 관찰 공적 의미 역할 변화 휴대 전화 이용 행태 특성 지배 의미 인식 변화 규범 정착 분석 공적 시공간 미 시적 조정 다 의적 항시 연결 모바일 친구 
13	2007	핸드폰 무선 네트워크 위치 기반 기술 등장 기술 커뮤니케이션 미디어 유비쿼터스 신조어 인간 삶 모습 변화 기술 커뮤니케이션 미디어 영향 예술 예외 활용 뉴 미디어 예술 작품 미술관 갤러리 벽 도시 광범위 영역 배경 공공 예술 성격 중 위치 기반 미디어 이용한 위치 기반 미디어 예술 예술 도시 밀접 관계 도시 해석 경험 소통 시도 위치 기반 미디어 예술 성격 도시 질 문제 상실 소통 부재 해결 방법 고려 논문 부산 광복 프로젝트 대상지 설정 위치 기반 드로잉 스토리텔링 이용한 프로젝트 제안 도시 질 문제 중 상업 회복 소통 모색 프로젝트 도시 거리 캔버스 사람 붓 거리 색 팔레트 상정 참여자 각각 자신 공유 사람 관련 이야기 사람 과정 오프라인 공유 도시 이야기 생성 소통 기대 위치 기반 미디어 예술 공공미술 
14	2007	재생 보존 활용 
15	2007	전근대 도시 이상 알레고리 벤야민 
16	2007	도심 개발 도심 재생 도시 환경 
17	2007	현대 도시 종교 건축 
18	2007	
19	2007	경관 경관 계획 정체성 
