ID	발행연월	록키 워드 
1	2008	
2	2014	도시 개발 패러다임 인간 사이 사회 문화 교류 활성 집중 도시민 평가 요소 인간 고려 환경 계획 설계 이론 논의 효율 처리 정량 계획 기준 도시 지속 도시 방지 의미 특성 파악 유형 도시민 이미지 평가 정량 도출 결과 서울시 대표 유형 가지 구분 유형 해당 물리 사회 문화 특성 고려 상징 자연 문화 행성 일상 성 일상 다양성 전통 현대 성 명칭 도출 유형 추후 서울시 특징 가독성 다양성 형성 방향 제시 기초 자료 활용 유형 분류 장 소성 형용사 다차 원 척도 분석 군집 분석 
3	2014	지속 삶의 질 향상 관심 환경 디자인 분야 부분 대두 질 정신 측면 접근 필요 관점 환경 구축 개념 개념 대두 인간 인식 체계 특정 이미지 가치 인지 체험 지각 체험 과정 이미지 역할 이미지 의미 표현 방식 인간 체험 결정 요소 인간 체험 과정 체험 이미지 구현 요인 파악 근래 사회 문화 상징 지역민 삶 장 역할 도시 공원 대상 체험 이미지 구현 방식 파악 방법 선행 문헌 이론 고찰 사례 분석 이론 고찰 체험 관계 체험 인지 과정 고찰 체험 이미지 구현 요인 도출 토대 도시 공원 사례 이미지 구현 방식 분석 사례 범위 국외 도시 공원 중 역사 전통 상징 디자인 개념 삼은 2000년대 전후 조성 사례 대상 공원 조성 전 용도 사용 재생 조성 공원 대상 토대 도시 공원 사례 분석 결과 시각 체험 중심 이미지 구현 상징 요소 구심 요소 면적 활동 영역 형성 전체 분절 다 중심 구조 기존 요소 현재 개발 요소 결합 방식 시간 유기체 구성 특성 시간 기억 은유 방식 이미지 형성 의미 해석 방식 구현 신체 체험 중심 이미지 구현 다층 구성 동선 형성 분절 요소 비선형 구성 특성 활동 프로 그램 장치 시간 기억 흔적 통합 구성 특성 파악 체험 이미지 구현 도시 공원 재생 공원 
4	2014	박물관 관람객 도시 발전 수단 서비스 차원 측정 평가 기존 정책 마케팅 계획 박물관 관람객 사이에서 정서 가치 지각 기제 이론 근거 박물관 형성 요인 제시 요인 애착 매개 가치 지각 관람 행위 결과 과정 검증 국내외 사례 관련 이론 고찰 결과 구축 형태 유형 역사 문화 자산 기억 이미지 활용 구현 의도 부여 기존 인식 전환 재생 가지 경우 분류 가지 형태 동시 발현 정동 지역 박물관 대상 선정 형성 요인 애착 간 관계 세부 가설 정동 지역 박물관 형성 요인 물리 활동 행태 심리 요소 구분 형성 영향 위치 대중교통 편리 외관 매력 환경 안함 물리 요소 정동 지역 박물관 애착 설명 정체성 의존 요소 구분 결과 정동 지역 박물관 애착 기능 감정 상징 이유 애착 정체성 관련 요소 설명 확인 정동 지역 박물관 방문 관람객 인지 형성 요인 애착 매개 지각 가치 영향 형성 요인 애착 매개 효과 직접 지각 가치 영향 유의 값 마지막 박물관 관람객 지각 가치 모형 최종 종속 변인 관람 행위 의도 영향 관계 관람객 지각 가치 방문 만족도 추천 의도 방문 의사 증가 확인 박물관 기능 물리 필요 이상 의미 존재 가치 평가 관점 고찰 필요 도출 형성 구조 후속 신뢰 타당성 확보 기여 박물관 형성 요인 애착 가치 인식 행위 의도 
5	2011	형성 요인 인지 이용 특성 행태 시설 
6	2011	정체성 홍대 지역 인과 구조 구조 방정식 모형 
7	2013	감성 물 공감각 
8	2013	강도원 최창규 개발 인식 인과 구조 모형 보편 검증 대학로 대상 특성 분석 실시 대상지 이용자 특성 방문자 행동 의도 영향 경로 구조 분석 강도원 최창규 홍대 지역 결과 비교 분석 행동 의도 인과 구조 모형 가설 보편 검증 다음 결과 도출 행동 의도 영향 경로 모형 보편 부분 확인 대학로 홍대 지역 집단 애착 H1 애착 행동 의도 경로 유의미 인식 정도 차이 경로 구조 모형 변형 확인 대학로 소비 집단 집단 대학로 공연 문화 인식 경로 구조 모형 변형 확인 지역 소비자 차이 발견 홍대 지역 소비 집단 장 소성 소비 대학로 소비 집단 지역 집단 대학로 문화예술 인지 애착 행동 의도 대학로 홍대 지역 구조 방정식 모형 
9	2011	도시 정체성 분포 
10	2011	구성 요소 장 소성 형용사 구조 방정식 모형 
11	2012	표상 상상 의식 의식 지향 티 양면 체험 인정 기행 음식 풍물 공동체 충만 
12	2012	정체성 애착 행동 의도 홍대 지역 구조 방정식 모형 
13	2013	프랜차이즈 합 필 삼청동 길 상업 가로 
14	2012	글 중국 상하이 화 이하 이루 분석 사람 생활 기반 사회 의식 특정 물리 위치 설명 상호작용 의미 생산 사회 생산물 특정 설명 생활 사람 설명 필요 화 이하 이루 프랑스 조계 확장 과정 조성 처음 바오 창 루 이름 이름 상하이 해방 이후 화이 하이 국민당 승리 기념 화 이하 이루라 이름 현재 화 이하 이루 글로벌 브랜드 상하이 젊은이들 상하이 대표 소비 거리 소비 이미지 부각 조계 시절 치욕 빈민 일상 삶 망각 사회주의 과거 공적 기억상실 화이 하이 루 기억 조계 시절 모던 현재 글로벌 티 열망 이다 화 이하 이루 소비 거리 특성 상하이 사람 화이 하이 루 자신 정체성 확인 점 화이 하이 루가 외지인 구별 상하이 인 주장 당사자 자신 상하이 사람 확증 상하이 사람 화 이하 이루 실천 의미 정체성 소비 화 이하 이루 상하이 
15	2016	젠트리피케이션 문화 특화 지역 상업 삼청동 신사동 
16	2016	기억 역사학 사회학 도시 중 개념 등장 도시 미시 시선 해석 방법 내부자 기억 기억 기억 중심 형성 시각 구조 특성 해석 내부자 입소 체육인 대상 개방 인터뷰 진행 빈도 분석 의미 연결 망 분석 이용 분석 결과 내부자들 의미 특정 중심 태릉선수촌 회상 이중 출현 빈도 대상지 상징 역사 관련 인터뷰 대상자 태릉선수촌 훈련 장 이전 삶 인식 외 공식 기록 등장 불암산 훈련 코스 태릉선수촌 이해 향후 보전 가치 기억 집단 기억 문화 경관 정체성 의미 연결 망 
17	2014	올레길 전국 길 조성 하드웨어 중심 길 조성 보니 대부분 길 차별 길 비판 일자 문화 체육 관광부 사업 추진 이야기 탐방 특색 의도 구체 실천 과정 이야기 나열 하드웨어 중심 개발 환류 흐름 스토리텔링 유효 방법 증명 이야기 강화 차별 방안 탐색 목적 대상 무등산 의병 길 조성 테마 부여 절차 문제 테마 중심 콘텐츠 개발 의병 테마 강조 보니 테마 자원 한시 결과 콘텐츠 부족 스토리텔링 방문객 소통 지점 구체 방안 제시 문제점 해결 무등산 의병 길 의병 관련 이야기 수집 풍 암 정 이야기 치마 바위 이야기 다음 직접 연관 의병 연관 이야기 수집 간접 연관 이야기 선별 과정 풍 암 금곡동 제철 유적 의병 활동 의미 선정 끝 의병 길 구간 계절 생태 체험 프로그램 체험 프로그램 개발 의병 이야기 융합 테마 융합 스토리텔링 개발 인문학 연구자 습관 경직 태도 반성 출발 강화 스토리텔링 목적 문제 해결 방법 사회 스토리텔링 선택 인문학 연구자 스토리텔링 외연 확대 적극 고려 문화 생태 탐방 테마 융합 공동체 
18	2012	
