Id,Label,timeset,Degree,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Weighted Degree
1,city,,186,0,4,0.485953,0.546673,51418.51829,4369
2,homeland,,107,0,4,0.428571,0.478094,12397.841255,4239
3,care,,94,1,4,0.434971,0.479449,13595.622006,2018
4,health,,284,1,4,0.507333,0.590635,97658.595951,9176
5,wakayama,,40,0,4,0.396774,0.427657,768.169811,1170
6,women,,138,1,4,0.467089,0.518142,28913.921696,3084
7,tourism,,120,2,4,0.446731,0.497064,31294.476125,2440
8,sport,,78,2,4,0.416009,0.457769,15154.890424,1390
9,relationship,,134,1,4,0.476334,0.524089,18092.046782,2656
10,experience,,197,1,4,0.516325,0.569934,29788.295651,4283
11,identity,,307,6,3,0.555723,0.625866,95742.094407,7706
12,construction,,85,6,4,0.454433,0.492472,2568.441141,1697
13,education,,65,1,4,0.444043,0.478245,2413.133457,1398
14,people,,197,0,4,0.512975,0.567826,31891.941954,4594
15,community,,219,9,4,0.525142,0.581978,45793.365877,5336
16,communities,,79,9,4,0.452946,0.489837,4991.451009,1544
17,age,,47,1,4,0.422036,0.453553,887.367764,983
18,status,,32,1,4,0.415385,0.443089,134.278197,711
19,concept,,77,0,4,0.447092,0.484267,4687.793992,1376
20,movement,,54,0,4,0.425442,0.458747,2240.27174,939
21,sexuality,,31,1,4,0.409848,0.438196,447.949427,676
22,childbirth,,28,1,4,0.391997,0.419527,202.049011,612
23,factor,,89,1,4,0.481304,0.514228,9331.82422,1841
24,network,,69,9,4,0.428904,0.465899,6863.971229,1426
25,nations,,13,1,5,0.397344,0.421816,71.712061,313
26,process,,116,6,4,0.481933,0.522508,5428.620259,2365
27,danger,,35,12,4,0.373986,0.401159,10193.303304,848
28,preference,,20,12,5,0.349984,0.36897,842.546908,562
29,perception,,120,3,4,0.493535,0.531918,9497.329591,2330
30,landscape,,194,3,4,0.508966,0.564363,54358.363044,4474
31,analysis,,123,1,4,0.4982,0.536058,12549.168961,2506
32,issue,,71,1,4,0.469864,0.500376,3365.189542,1306
33,world,,122,3,4,0.495524,0.5338,12374.430053,2221
34,group,,153,0,4,0.507565,0.551114,16276.659258,3375
35,magazine,,14,0,5,0.357789,0.377552,26.958933,332
36,tokyo,,14,0,5,0.357789,0.377552,26.958933,332
37,institute,,18,0,4,0.383975,0.408838,138.787272,386
38,culture,,94,3,4,0.468671,0.506098,9754.258993,1785
39,use,,140,6,4,0.501359,0.543135,9808.728056,3032
40,interface,,51,5,5,0.364625,0.395242,21333.266684,793
41,computer,,25,5,5,0.380021,0.406685,3812.360097,550
42,image,,88,3,4,0.465517,0.502108,14601.493588,1687
43,region,,83,3,4,0.440159,0.480126,8140.902662,1588
44,development,,130,4,4,0.477773,0.523939,17799.644427,2609
45,plan,,180,4,4,0.493976,0.550211,45558.144203,3958
46,area,,101,3,4,0.485526,0.520852,8581.540593,1913
47,life,,107,0,4,0.481723,0.520024,5903.729427,2121
48,service,,16,1,4,0.387063,0.411322,125.35105,312
49,europe,,65,3,4,0.452021,0.484869,5458.436887,1168
50,state,,100,6,4,0.488958,0.522809,9214.220358,1815
51,form,,77,4,4,0.473279,0.504667,11517.30328,1370
52,scale,,47,6,4,0.440685,0.470265,3083.554544,801
53,article,,93,1,4,0.477155,0.51212,4868.241651,1775
54,globalization,,44,3,4,0.410608,0.442261,7444.709559,837
55,environment,,130,3,4,0.486593,0.530413,9242.874368,2791
56,attachment,,76,6,4,0.432422,0.471394,4855.904465,1650
57,dimension,,64,6,4,0.444222,0.478094,8053.345072,1164
58,patients,,16,1,4,0.377172,0.400783,11.397597,335
59,fertility,,15,1,4,0.376915,0.400181,10.849398,312
60,activity,,49,6,4,0.416635,0.448961,1527.930923,1105
61,leisure,,55,6,4,0.411218,0.446176,10006.482865,1138
62,role,,70,3,4,0.479636,0.507001,3186.896258,1280
63,value,,67,3,4,0.46318,0.493978,1921.145696,1240
64,class,,25,9,4,0.403573,0.429313,2647.985758,541
65,result,,97,6,4,0.479013,0.51498,4981.523573,1854
66,nanki,,8,0,5,0.329562,0.348359,0,198
67,birthplace,,8,0,5,0.329562,0.348359,0,198
68,kitamura,,8,0,5,0.329562,0.348359,0,198
69,history,,69,0,4,0.466892,0.497817,3671.084246,1247
70,change,,98,0,4,0.47227,0.510163,4152.213408,1918
71,land,,29,1,4,0.426919,0.452499,65.88305,537
72,residents,,52,4,4,0.430404,0.462662,4376.454792,960
73,house,,95,4,4,0.439111,0.483138,15169.421736,1873
74,men,,23,1,4,0.392971,0.419678,1342.533476,490
75,patient,,10,1,4,0.369863,0.392352,12.500249,217
76,practice,,84,6,4,0.476129,0.508808,4564.053152,1592
77,opportunities,,24,9,4,0.402545,0.428711,349.544639,434
78,geography,,125,3,4,0.473077,0.518744,18876.104331,2440
79,students,,27,3,4,0.411218,0.439024,2170.125705,508
80,gender,,29,1,4,0.409697,0.437293,1370.544466,499
81,vegetation,,34,4,5,0.373482,0.400888,1098.330668,819
82,humans,,7,1,4,0.374746,0.396718,9.735598,137
83,anthropology,,6,1,5,0.375,0.395544,0,138
84,biodiversity,,13,1,4,0.388694,0.412978,243.791289,266
85,tourist,,20,2,4,0.392553,0.417194,1561.319971,355
86,involvement,,27,6,4,0.386792,0.414182,391.253525,602
87,ways,,56,6,4,0.470663,0.496387,1622.343461,875
88,methods,,22,4,5,0.413832,0.438753,1170.393035,329
89,heritage,,43,3,4,0.432591,0.462511,1455.1878,818
90,management,,114,1,4,0.470863,0.514002,12312.963705,2132
91,safety,,44,1,4,0.427413,0.45807,1110.116149,910
92,mauli,,10,1,5,0.386522,0.409545,0,228
93,variables,,21,12,4,0.386253,0.410419,2464.556792,383
94,hikers,,22,6,4,0.371976,0.396793,55.435516,534
95,identities,,25,6,4,0.411218,0.438422,215.045526,421
96,immigrants,,24,1,4,0.399063,0.426453,2511.309899,378
97,behaviors,,15,1,4,0.39172,0.414709,129.831667,259
98,system,,21,1,4,0.406239,0.431572,2539.004367,356
99,sex,,10,1,4,0.366314,0.38791,0,197
100,politics,,42,6,4,0.420913,0.450617,5886.445388,720
101,neighbourhood,,29,1,4,0.409242,0.436465,194.839046,579
102,function,,18,6,5,0.377301,0.400813,337.093263,309
103,case,,64,6,4,0.467681,0.496462,1446.965734,1006
104,attitude,,25,1,5,0.414762,0.440711,332.138427,381
105,sustainability,,43,6,4,0.419159,0.449639,4150.72445,903
106,resources,,29,6,4,0.397915,0.424797,305.059002,581
107,lack,,14,1,4,0.396632,0.420205,603.783911,208
108,ethnology,,8,1,4,0.370482,0.392276,0.259641,141
109,behavior,,12,1,4,0.395498,0.419226,14.666645,200
110,focus,,79,9,4,0.478392,0.508808,2163.691889,1439
111,beliefs,,6,1,4,0.352436,0.375038,0,114
112,water,,15,1,4,0.403132,0.428561,135.433437,248
113,relations,,59,1,4,0.448905,0.480126,2230.036702,1086
114,conduct,,14,1,4,0.411371,0.434207,60.412608,228
115,things,,8,6,5,0.350095,0.36626,321.947549,140
116,mean,,37,6,4,0.420913,0.448961,504.183038,607
