Id,Label,timeset,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
1,ecosystem,,235,4,0.471517,0.511198,35043.338939
2,service,,383,4,0.497915,0.549575,133800.292141
3,memories,,204,4,0.438615,0.480762,17647.417278
4,landscape,,641,4,0.543445,0.611875,368413.739606
5,use,,507,4,0.538891,0.591474,104454.580924
6,change,,437,4,0.521956,0.572202,132940.006291
7,climate,,161,4,0.459509,0.492225,13481.156813
8,development,,415,4,0.515413,0.565225,110012.223553
9,tourism,,427,4,0.510586,0.563729,138495.121578
10,people,,568,4,0.539123,0.599714,170031.466874
11,destination,,181,4,0.462134,0.496843,20026.101453
12,factor,,354,4,0.499801,0.54695,69976.47367
13,value,,313,3,0.507795,0.546717,49050.176044
14,residents,,395,3,0.504933,0.555755,105181.614242
15,analysis,,415,4,0.524576,0.570807,83421.179963
16,plant,,156,4,0.450836,0.484981,39141.007664
17,school,,96,4,0.419679,0.449993,10704.06384
18,community,,498,4,0.526559,0.583101,210731.965942
19,perception,,327,4,0.507898,0.548678,42049.647426
20,creation,,115,4,0.43946,0.46973,1963.212968
21,memory,,159,4,0.445867,0.480961,47307.782538
22,capital,,107,4,0.444918,0.473352,9461.669529
23,city,,277,4,0.488603,0.529074,34705.135171
24,elements,,131,4,0.457748,0.486676,3171.832118
25,result,,342,4,0.512779,0.553795,31445.021245
26,age,,332,4,0.489557,0.537115,82067.510282
27,population,,254,4,0.488033,0.525684,44278.189709
28,time,,222,4,0.480276,0.515916,15773.802911
29,health,,313,4,0.493409,0.537247,113781.92964
30,communities,,189,4,0.473029,0.506147,10807.422347
31,perceptions,,198,3,0.478992,0.511696,13176.734105
32,environment,,364,4,0.514462,0.557782,62661.75784
33,risk,,212,4,0.466431,0.504353,41701.257565
34,image,,184,4,0.460437,0.495946,28374.673483
35,management,,374,4,0.497323,0.547947,132482.043086
36,water,,171,4,0.451648,0.487307,37315.84801
37,life,,262,4,0.482308,0.522694,41451.616315
38,control,,165,4,0.462645,0.495282,34296.027231
39,impact,,281,4,0.49409,0.533393,41027.304358
40,experience,,410,4,0.521197,0.568149,89039.460099
41,feature,,85,4,0.435719,0.462453,2732.999154
42,map,,147,4,0.452789,0.484981,40055.996786
43,components,,94,4,0.44476,0.471392,1206.367576
44,identity,,370,3,0.508825,0.554957,74789.875827
45,relationship,,232,4,0.487464,0.522295,12717.258525
46,tourist,,112,4,0.454925,0.481991,7097.352731
47,tourists,,116,4,0.450593,0.479133,5994.882198
48,model,,296,4,0.495358,0.536317,65049.126965
49,neighborhood,,123,4,0.453855,0.482722,2917.800043
50,conservation,,223,4,0.471961,0.509935,43783.687136
51,site,,139,4,0.460183,0.489766,10875.525587
52,role,,237,4,0.490995,0.525419,11828.492572
53,symbols,,71,4,0.412975,0.440058,156.274967
54,home,,274,4,0.48,0.522661,122901.386392
55,context,,125,4,0.450512,0.48013,4258.487414
56,quality,,147,4,0.463757,0.493687,15971.071077
57,influence,,215,4,0.485294,0.518574,17090.842972
58,brand,,146,4,0.425445,0.461457,52531.147908
59,family,,122,4,0.438615,0.46973,35127.088718
60,market,,170,4,0.464015,0.497076,23621.148574
61,land,,152,4,0.454101,0.48661,11042.505971
62,structure,,122,4,0.466084,0.492059,2684.558729
63,students,,135,4,0.454513,0.484782,23812.919359
64,student,,127,4,0.442953,0.474183,36449.935532
65,support,,163,4,0.473208,0.502824,8332.509757
66,biodiversity,,96,4,0.435266,0.463816,5627.602143
67,view,,107,4,0.450027,0.47724,2606.642889
68,descriptions,,29,4,0.394154,0.416501,404.45111
69,adaptation,,65,4,0.426821,0.452618,1135.158688
70,care,,104,4,0.434662,0.463882,7300.424741
71,attachment,,261,4,0.489652,0.527745,25793.400163
72,action,,144,4,0.463929,0.493321,48476.705265
73,plan,,234,4,0.476444,0.51472,37305.726649
74,policy,,186,4,0.472851,0.505615,31930.400775
75,increase,,146,4,0.47817,0.50432,4824.805127
76,process,,282,4,0.501199,0.538377,38518.487384
77,mind,,43,4,0.4125,0.436138,1091.90078
78,food,,204,4,0.466605,0.503323,86154.327443
79,group,,213,4,0.490323,0.521764,19635.733221
80,grind,,29,4,0.3865,0.407596,766.427812
81,personality,,37,4,0.401216,0.42411,367.543986
82,information,,177,4,0.469487,0.50196,17864.807547
83,resources,,105,4,0.456249,0.482224,3206.228038
84,level,,134,4,0.463158,0.491461,5949.817437
85,type,,73,4,0.440773,0.465677,1813.371982
86,practice,,269,4,0.49841,0.534789,34808.880058
87,decision,,98,4,0.448177,0.474814,11014.257317
88,formation,,57,4,0.41675,0.441554,506.928038
89,area,,269,4,0.497126,0.533925,41194.467046
90,cause,,48,4,0.417652,0.441089,90.185601
91,mobility,,139,4,0.458836,0.488603,23569.821504
92,survey,,244,4,0.495456,0.529406,20105.669999
93,children,,186,4,0.450836,0.488603,85173.607559
94,autonomy,,19,4,0.387935,0.40743,66.182035
95,heritage,,249,4,0.469663,0.511629,99099.635494
96,article,,285,4,0.501399,0.538876,56290.067764
97,methods,,123,4,0.465565,0.491793,4514.867559
98,education,,148,4,0.462389,0.492657,26296.234924
99,sustainability,,128,4,0.444996,0.47601,12815.167527
100,network,,135,4,0.461793,0.490464,10944.23829
101,china,,120,4,0.458836,0.486211,4470.179417
102,wsud,,25,4,0.378223,0.397694,100.038981
103,source,,65,4,0.428718,0.45408,1830.39551
104,women,,119,4,0.444444,0.474482,30605.514302
105,geography,,134,4,0.461199,0.489899,21866.770516
106,percent,,38,5,0.389139,0.411596,270.794716
107,disaster,,60,4,0.385609,0.410819,9830.014657
108,preparedness,,50,4,0.378566,0.401515,6959.039378
109,sit,,90,4,0.447458,0.473186,6779.5026
110,regard,,59,4,0.432414,0.45614,2337.850183
111,field,,91,4,0.44358,0.46983,27180.708233
112,events,,78,4,0.433011,0.459662,8064.5763
113,benefit,,66,4,0.440773,0.464713,644.518663
114,activities,,175,4,0.476625,0.507011,16316.304768
115,areas,,200,4,0.473565,0.508141,10865.974168
116,bioenergy,,23,5,0.383956,0.405051,128.832687
117,crop,,59,5,0.397024,0.422362,23795.428892
118,work,,174,4,0.477987,0.507875,20077.659635
119,case,,228,4,0.491861,0.524821,20857.167825
120,culture,,104,4,0.451648,0.478203,2434.027213
121,dimension,,113,4,0.449865,0.47827,6561.8389
122,pollution,,60,4,0.420735,0.446172,4595.529955
123,security,,37,4,0.410542,0.433646,653.044773
124,shape,,138,4,0.457664,0.487905,55670.789337
125,park,,122,4,0.45035,0.479831,9406.530903
126,farmers,,43,4,0.410945,0.434742,2013.111126
127,resilience,,111,4,0.4469,0.475412,33012.000276
128,stakeholder,,41,4,0.408669,0.431984,739.884626
129,cork,,18,5,0.362428,0.380941,384.256325
130,supply,,25,4,0.391325,0.412679,349.404685
131,event,,64,4,0.43078,0.455841,5797.476171
132,content,,25,4,0.398032,0.419325,210.446596
133,destinations,,39,4,0.412026,0.434642,251.762086
134,pupils,,18,5,0.354839,0.369896,133.517549
135,relations,,80,4,0.444208,0.468966,854.536795
136,conduct,,133,4,0.476987,0.501695,4496.429537
137,bridge,,20,4,0.385135,0.405835,73.476534
138,create,,125,4,0.466865,0.493056,3737.180028
139,stress,,64,4,0.434813,0.459031,7532.798202
140,participation,,106,4,0.45708,0.482955,6894.991113
141,term,,92,4,0.450836,0.47611,1173.894031
142,energy,,61,4,0.424869,0.450226,7363.103351
143,society,,157,4,0.470632,0.500166,13045.633702
144,provision,,25,4,0.414477,0.435639,787.33651
145,house,,186,4,0.46791,0.501994,42437.246809
146,travel,,81,4,0.439306,0.465078,2004.110154
147,opera,,86,4,0.403215,0.432516,44711.010987
148,science,,97,4,0.439306,0.467338,43827.656127
149,satisfaction,,128,4,0.451892,0.481825,23141.481452
150,nature,,168,4,0.470632,0.501628,29055.561235
151,cities,,98,4,0.456332,0.48126,1571.218829
152,members,,31,4,0.41675,0.438397,178.161152
153,author,,172,4,0.477351,0.507177,14907.451399
154,ways,,92,4,0.454019,0.478635,6137.860422
155,focus,,186,4,0.481105,0.511696,21163.280432
156,switzerland,,9,4,0.373938,0.392212,0.178508
157,buddhist,,15,4,0.370951,0.388789,72.461953
158,bond,,50,4,0.431893,0.454712,911.945452
159,limit,,156,4,0.477441,0.505084,4549.359126
160,trade,,92,4,0.457915,0.481692,1557.721481
161,taylor,,143,4,0.47527,0.501761,3567.887571
162,teachers,,30,4,0.380577,0.401316,495.407332
163,base,,158,4,0.474192,0.502957,4840.021731
164,adults,,48,5,0.409069,0.433127,885.473166
165,liveability,,19,4,0.370348,0.387792,49.299728
166,countries,,78,4,0.439614,0.465112,2345.783661
167,environments,,141,4,0.470103,0.497641,9727.106431
168,families,,42,4,0.425445,0.447634,584.506029
169,status,,50,4,0.43167,0.454246,1527.288587
170,interactions,,110,4,0.445946,0.47498,3312.46382
171,xiamen,,17,5,0.365385,0.382589,43.612823
172,evolution,,31,5,0.403086,0.42502,3887.742828
173,dispersal,,21,5,0.374832,0.395714,1037.044925
174,system,,96,4,0.450512,0.476243,3041.447131
175,preserve,,24,4,0.407805,0.429094,15.909816
176,history,,138,4,0.456831,0.487108,12710.412264
177,attitudes,,76,4,0.432116,0.458134,4968.318232
178,users,,70,4,0.43762,0.462586,1826.294599
179,photos,,20,4,0.383838,0.403907,34.508368
180,aspects,,78,4,0.447537,0.471458,2983.114904
181,governance,,69,4,0.428938,0.454313,2670.418308
182,world,,96,4,0.454019,0.479133,9119.747146
183,village,,47,4,0.420101,0.444112,737.983252
184,heat,,63,4,0.394898,0.421318,34469.20387
185,balance,,47,4,0.423434,0.446936,2215.391698
186,activity,,71,4,0.426531,0.452452,4166.527442
187,vegetation,,22,4,0.395584,0.416866,108.714806
188,patients,,65,4,0.377029,0.401881,49115.536625
189,ward,,21,4,0.379885,0.399488,2152.066302
190,casino,,33,4,0.386679,0.408426,15127.264023
191,ideas,,44,4,0.427112,0.449495,1059.120279
192,technologies,,34,4,0.410139,0.432317,253.138341
193,urbanization,,43,4,0.412229,0.435473,313.791915
194,belt,,12,5,0.361019,0.37694,0
195,framework,,196,4,0.478535,0.511198,14285.311958
196,basis,,38,4,0.419258,0.44182,74.92496
197,relationships,,118,4,0.462049,0.488404,1645.948039
198,resource,,69,4,0.43946,0.46355,3681.823451
199,workers,,27,4,0.392857,0.414407,3884.189796
200,vulnerability,,35,4,0.40967,0.432217,177.091318
201,implications,,118,4,0.474281,0.497707,4147.207245
202,questionnaire,,63,4,0.44186,0.465012,3656.104048
203,access,,85,4,0.438385,0.464813,5758.316612
204,flood,,98,4,0.43519,0.463749,45728.588997
205,matter,,21,4,0.396146,0.416932,568.587674
206,migrants,,56,4,0.417304,0.441687,1778.901878
207,questionnaires,,35,4,0.415369,0.437899,85.921566
208,customer,,21,4,0.372273,0.391248,158.982564
209,detection,,15,4,0.365918,0.383174,84.723053
210,ants,,11,5,0.32487,0.336796,81.207774
211,variation,,29,5,0.397338,0.419604,3069.281661
212,species,,65,4,0.41989,0.445774,2214.435681
213,consumption,,14,4,0.369912,0.388424,35.886696
214,figure,,21,4,0.394774,0.416069,0
215,migration,,106,4,0.432041,0.461855,11397.15868
216,geographies,,64,4,0.439153,0.462453,1811.655315
217,play,,48,4,0.432488,0.45521,295.534233
218,trb,,17,4,0.391264,0.411583,284.16137
219,sri,,19,4,0.385313,0.405303,215.672906
220,servicescape,,30,5,0.379081,0.399914,384.650172
221,garden,,76,4,0.437086,0.462453,1650.015167
