Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,componentnumber
1,health,,84,1625,7,0.456198,0.582738,15172.76786,0.387371,0.387371,0,0
5,geography,,55,983,7,0.453202,0.542883,8294.222243,0.347723,0.347723,3,0
4,landscape,,47,787,6,0.46,0.532729,7856.527368,0.332403,0.332403,5,0
21,identity,,34,519,6,0.386555,0.454831,4183.099002,0.188457,0.188457,5,0
8,structure,,26,466,8,0.30735,0.372136,1912.249846,0.047134,0.047134,1,0
7,build,,23,420,8,0.306326,0.366701,1141.164617,0.046311,0.046311,1,0
31,room,,21,310,8,0.301969,0.358791,788.217025,0.044915,0.044915,1,0
2,care,,20,458,7,0.401747,0.455927,675.770203,0.202824,0.202824,0,0
15,home,,20,352,7,0.40292,0.458342,3696.921171,0.137165,0.137165,4,0
18,experience,,20,325,7,0.421374,0.472231,2459.192109,0.198564,0.198564,4,0
79,part,,19,238,7,0.37047,0.422714,3425.838599,0.101597,0.101597,3,0
104,women,,18,242,6,0.331333,0.374758,3514.524669,0.02665,0.02665,10,0
11,community,,17,266,6,0.397695,0.445169,2508.095222,0.140833,0.140833,0,0
44,development,,17,265,7,0.372973,0.422412,717.163051,0.15007,0.15007,5,0
14,birth,,16,252,8,0.357977,0.413682,978.557134,0.105299,0.105299,4,0
16,sport,,15,285,7,0.3543,0.401881,1980.396591,0.091959,0.091959,3,0
38,control,,15,254,8,0.333736,0.377752,1878.719534,0.060432,0.060432,1,0
9,population,,14,236,7,0.386014,0.436603,2417.557253,0.095554,0.095554,8,0
29,role,,14,211,7,0.361257,0.409972,1513.900226,0.109022,0.109022,6,0
66,people,,14,195,6,0.416918,0.459964,1154.890657,0.167672,0.167672,5,0
85,group,,13,176,5,0.371467,0.40936,4067.861103,0.083765,0.083765,10,0
49,site,,12,182,8,0.280773,0.320143,31.456199,0.02927,0.02927,1,0
3,service,,11,260,7,0.361257,0.405504,298.307281,0.108563,0.108563,0,0
50,roof,,11,172,9,0.26513,0.304415,4.166667,0.026585,0.026585,1,0
32,residents,,10,169,7,0.374491,0.415769,767.212335,0.083581,0.083581,5,0
10,migration,,9,208,8,0.291139,0.321291,86.713585,0.012989,0.012989,8,0
36,county,,9,159,7,0.335358,0.372533,60.561998,0.077249,0.077249,5,0
41,change,,9,124,7,0.348045,0.384972,360.35426,0.075293,0.075293,3,0
42,steel,,9,126,8,0.27112,0.307764,892.242592,0.01177,0.01177,1,0
51,state,,9,144,6,0.330935,0.362742,843.466006,0.036156,0.036156,8,0
33,icons,,8,110,7,0.335766,0.365649,195.890334,0.048826,0.048826,5,0
34,minority,,8,105,7,0.319444,0.351518,416.00162,0.04275,0.04275,7,0
35,francophone,,8,120,7,0.319444,0.351518,416.00162,0.04275,0.04275,7,0
45,economy,,8,128,8,0.291447,0.327873,134.974985,0.039993,0.039993,6,0
57,settlement,,8,126,7,0.34414,0.377968,477.265719,0.071629,0.071629,5,0
70,house,,8,119,9,0.2878,0.323981,198.0208,0.024025,0.024025,1,0
71,things,,8,90,7,0.330144,0.364381,847.841299,0.042129,0.042129,3,0
76,species,,8,95,7,0.276276,0.303994,1399.805189,0.005344,0.005344,8,0
109,life,,8,98,7,0.353846,0.393668,525.36566,0.093307,0.093307,7,0
150,analysis,,8,98,7,0.356129,0.394272,363.403684,0.100576,0.100576,5,0
6,zealand,,7,170,7,0.365079,0.401881,43.752226,0.09734,0.09734,0,0
17,communities,,7,112,7,0.34717,0.38926,225.649389,0.077579,0.077579,0,0
20,environment,,7,132,7,0.348045,0.384912,64.353143,0.092512,0.092512,5,0
30,chapter,,7,132,8,0.27907,0.309092,33.458165,0.026323,0.026323,6,0
43,floor,,7,114,9,0.268482,0.30194,41.404864,0.02025,0.02025,1,0
52,power,,7,96,7,0.311512,0.341313,983.39564,0.017746,0.017746,8,0
69,perception,,7,93,7,0.356129,0.393064,77.677832,0.104623,0.104623,5,0
108,use,,7,92,6,0.358908,0.393176,996.587649,0.070859,0.070859,10,0
58,time,,6,94,7,0.381215,0.420238,46.228968,0.114987,0.114987,4,0
80,value,,6,83,7,0.326627,0.355927,72.825508,0.058038,0.058038,5,0
95,tunnel,,6,87,9,0.263359,0.29415,0,0.019356,0.019356,1,0
96,amenity,,6,87,9,0.263359,0.29415,0,0.019356,0.019356,1,0
97,areas,,6,87,9,0.263359,0.29415,0,0.019356,0.019356,1,0
98,atrium,,6,87,9,0.263359,0.29415,0,0.019356,0.019356,1,0
129,culture,,6,81,6,0.393723,0.4282,600.686543,0.093782,0.093782,4,0
25,provision,,5,82,8,0.333736,0.373344,438.219671,0.055398,0.055398,0,0
37,map,,5,82,7,0.310461,0.333402,551.736364,0.02793,0.02793,4,0
53,regions,,5,75,7,0.291755,0.3206,88.946265,0.019902,0.019902,8,0
55,century,,5,63,7,0.368984,0.40967,72.942256,0.09827,0.09827,3,0
65,history,,5,74,7,0.337821,0.369815,281.202381,0.069376,0.069376,5,0
83,interpretation,,5,72,6,0.218527,0.236292,1898,0.000498,0.000498,10,0
99,countries,,5,71,7,0.3023,0.324646,108.346684,0.01386,0.01386,8,0
159,mexico,,5,65,8,0.317241,0.360602,915.001366,0.030564,0.030564,9,0
161,describe,,5,59,7,0.336175,0.366253,521.874976,0.038007,0.038007,1,0
180,fabric,,5,58,8,0.29393,0.323766,237.761409,0.020581,0.020581,1,0
185,level,,5,57,7,0.342432,0.373197,1332.504463,0.036189,0.036189,1,0
19,concern,,4,90,7,0.365563,0.404538,0,0.096557,0.096557,0,0
24,islands,,4,80,8,0.279635,0.303054,0.333333,0.009616,0.009616,8,0
39,profession,,4,80,8,0.316151,0.342728,0,0.038116,0.038116,4,0
61,science,,4,65,7,0.365563,0.404538,0,0.096557,0.096557,0,0
62,concepts,,4,64,7,0.365563,0.404538,0,0.096557,0.096557,0,0
64,pattern,,4,62,7,0.319815,0.346869,0,0.049576,0.049576,5,0
72,world,,4,57,8,0.359375,0.401605,355.329555,0.066799,0.066799,3,0
78,plan,,4,49,6,0.283659,0.304771,255.551082,0.014276,0.014276,5,0
90,work,,4,60,7,0.369478,0.409369,118.374115,0.08813,0.08813,3,0
156,workers,,4,45,8,0.280488,0.302933,300.946337,0.014382,0.014382,7,0
12,vegetation,,3,70,1,1,1,0.5,0,0,2,1
13,tucson,,3,66,1,1,1,0.5,0,0,2,1
22,city,,3,66,7,0.333333,0.360757,54.417398,0.040676,0.040676,5,0
26,hokianga,,3,54,8,0.317241,0.356375,0,0.053113,0.053113,0,0
27,clinics,,3,54,8,0.317241,0.356375,0,0.053113,0.053113,0,0
28,outpatient,,3,54,8,0.317241,0.356375,0,0.053113,0.053113,0,0
40,discipline,,3,48,7,0.334951,0.363777,2.205586,0.057419,0.057419,3,0
46,perspective,,3,49,7,0.337408,0.3674,0,0.058686,0.058686,3,0
47,north,,3,55,8,0.279352,0.301242,0,0.008981,0.008981,8,0
48,dynamics,,3,54,8,0.279352,0.301242,0,0.008981,0.008981,8,0
63,process,,3,42,7,0.322807,0.345661,71.931733,0.025417,0.025417,3,0
68,concept,,3,44,8,0.343711,0.385542,0,0.071291,0.071291,0,0
81,territoriality,,3,38,7,0.365079,0.402726,0,0.08114,0.08114,3,0
86,taylor,,3,41,6,0.281059,0.302295,0,0.009083,0.009083,10,0
87,francis,,3,41,6,0.281059,0.302295,0,0.009083,0.009083,10,0
88,industry,,3,45,8,0.274627,0.295807,0,0.013327,0.013327,6,0
89,manchester,,3,45,8,0.274627,0.295807,0,0.013327,0.013327,6,0
100,cooperation,,3,44,7,0.256744,0.27362,0,0.00561,0.00561,8,0
101,feature,,3,44,7,0.303965,0.327907,0,0.024389,0.024389,5,0
110,policy,,3,42,7,0.295503,0.31426,22.351984,0.021092,0.021092,5,0
112,ecology,,3,41,7,0.365079,0.402726,0,0.08114,0.08114,5,0
