ID	abstractauthor keywordsindex keywords 
1	core topic individual author focus relationship live she/he mean home work davidson malpas claim creature routines world people use information concern individual/individuals/ communities relationship her/his source geography deal relationship philosophy heidegger geography relph cresswell education witham bednarz al. education identity knowledge placegeography education geography identity construction individualism knowledge philosophy 
2	distinctiveness localities loci people locality exist frameworks dimension environments participation use frameworks complexity plan guidelines dimension site dimension people landscape participatory dimension concretise dimension site plan guidelines conduct farm kromdraai vredefort world heritage site essence phase reveal responses projections mean phase phase people involvement area presentations plan site order capture interactions people environment site plan guidelines base contribute planners possibilities dimension people methods participation dimension plan world heritage dimension response heritage sit dimension participatory plan participation landscape phase site plan plan presentation domes 
3	distinctiveness localities loci people locality exist frameworks dimension environments participation use frameworks complexity plan guidelines dimension site dimension people landscape participatory dimension concretise dimension site plan guidelines conduct farm kromdraai vredefort world heritage site essence phase reveal responses projections mean phase phase people involvement area presentations plan site order capture interactions people environment site plan guidelines base contribute planners possibilities dimension people methods participation dimension plan world heritage dimension response heritage sit dimension participatory plan participation landscape phase site plan plan presentation domes 
4	number areas concern community sustainability emerge appreciation component process foremost issue community variations number concepts capital appreciation issue overlap community sustainability opportunity plan ways development methodologies scale relevance policy provide level integration incorporate variation capital concepts community sustainability dimension capital limitations highlight number methodologies note basis map capture variation capital analysis incorporate capital community dynamics author tijdschrift voor economische sociale geografie royal society knag.place capital interaction scale 
5	interpretations construction embody identity article market force intertwine process person place-making resources project change market force ideals proclamations society part construction person fact variety practice ways tension experience demand pursuit economy conventions life act basis self-identity narratives migrants article discuss attachment elements particularity individuals character people ability form account expressions personhood notion property category home article way connections attachments character conduct life association.identity migration personhood economy workbiography society identity construction population migration work condition 
6	farm-owners workers northeast thailand act concert create thani farm creation migration workers layer employers goals migrants residence conjugal workforce creation female worker worker pay migrants wage employers discourse work labour capacities women men farm women workers invoke status worker end explore income source create latitude child care payroll women income source workers husband employers women workers enactments worker turn differentiate subject practice migration process gender migrant subject reify assumptions gender practice produce gender centre analysis production gender process diversity position women context author migration iom.gender role migration migrant worker shrimp fishery thailand decapoda crustacea laotia 
7	relation geography individual notion reference issue concern awareness situation range his/her freedom autonomy act determinants decisions he/she bear issue connect role geography heuristics monitor relationship development problem enunciation challenge poses.development self behavior 
8	notion education receive attention link students experience settings education debate education notion contribute rethink form describe theorize occurrence world share others result relation material world chronotopic nature conversations view entity result transaction community material environment moment time hence shape shape identity people rethink case education project chronotope dialogue voice implications education discuss author .chronotope dialogism education education science education 
9	article contribute mean sort roles women leisure experience group women disadvantage areas cityand care children focus group structure conversations capital women environments endure women shape obligations care-givers home deeply ideologies absence obligations children reminders things women duties recreation women move obligation leisure represent opportunities home child- care leisure encounter environment afford women insights taylor care home ireland leisure care activity status county dublin county dublin leinster 
10	attachment sciences decades challenge researchers message term model landholder attachments resource management region measurement attachment elements scholarship attachment scale dimension identity dependence nature bond bond landholders mount lofty range majority respondents age administer response landholders areas yorke region murray-darling basin region majority respondents age factor range yorke datasets model reliabilities bond family bond friend bond model convergent correlations dependent variables identity length residence nature bond time nature use confirmatory factor analysis murray-darling basin samdb dataset model compare model identity dependence model provide fit samdb discussion model role attachment ltd.community attachment attachment identity scale development 
